"icd_10_pcs","valid_flag","short_description","long_description"
"0B9B4ZZ",1,"Drainage of Left Lower Lobe Bronchus, Perc Endo Approach","Drainage of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach"
"0B9B70Z",1,"Drainage of L Low Lobe Bronc with Drain Dev, Via Opening","Drainage of Left Lower Lobe Bronchus with Drainage Device, Via Natural or Artificial Opening"
"0B9B7ZX",1,"Drainage of Left Lower Lobe Bronchus, Via Opening, Diagn","Drainage of Left Lower Lobe Bronchus, Via Natural or Artificial Opening, Diagnostic"
"0B9B7ZZ",1,"Drainage of Left Lower Lobe Bronchus, Via Opening","Drainage of Left Lower Lobe Bronchus, Via Natural or Artificial Opening"
"0B9B80Z",1,"Drainage of Left Lower Lobe Bronchus with Drain Dev, Endo","Drainage of Left Lower Lobe Bronchus with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9B8ZX",1,"Drainage of Left Lower Lobe Bronchus, Endo, Diagn","Drainage of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9B8ZZ",1,"Drainage of Left Lower Lobe Bronchus, Endo","Drainage of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic"
"0B9C00Z",1,"Drainage of R Up Lung Lobe with Drain Dev, Open Approach","Drainage of Right Upper Lung Lobe with Drainage Device, Open Approach"
"0B9C0ZX",1,"Drainage of Right Upper Lung Lobe, Open Approach, Diagnostic","Drainage of Right Upper Lung Lobe, Open Approach, Diagnostic"
"0B9C0ZZ",1,"Drainage of Right Upper Lung Lobe, Open Approach","Drainage of Right Upper Lung Lobe, Open Approach"
"0B9C30Z",1,"Drainage of R Up Lung Lobe with Drain Dev, Perc Approach","Drainage of Right Upper Lung Lobe with Drainage Device, Percutaneous Approach"
"0B9C3ZX",1,"Drainage of Right Upper Lung Lobe, Perc Approach, Diagn","Drainage of Right Upper Lung Lobe, Percutaneous Approach, Diagnostic"
"0B9C3ZZ",1,"Drainage of Right Upper Lung Lobe, Percutaneous Approach","Drainage of Right Upper Lung Lobe, Percutaneous Approach"
"0B9C40Z",1,"Drain of R Up Lung Lobe with Drain Dev, Perc Endo Approach","Drainage of Right Upper Lung Lobe with Drainage Device, Percutaneous Endoscopic Approach"
"0B9C4ZX",1,"Drainage of Right Upper Lung Lobe, Perc Endo Approach, Diagn","Drainage of Right Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic"
"0B9C4ZZ",1,"Drainage of Right Upper Lung Lobe, Perc Endo Approach","Drainage of Right Upper Lung Lobe, Percutaneous Endoscopic Approach"
"0B9C70Z",1,"Drainage of R Up Lung Lobe with Drain Dev, Via Opening","Drainage of Right Upper Lung Lobe with Drainage Device, Via Natural or Artificial Opening"
"0B9C7ZX",1,"Drainage of Right Upper Lung Lobe, Via Opening, Diagn","Drainage of Right Upper Lung Lobe, Via Natural or Artificial Opening, Diagnostic"
"0B9C7ZZ",1,"Drainage of Right Upper Lung Lobe, Via Opening","Drainage of Right Upper Lung Lobe, Via Natural or Artificial Opening"
"0B9C80Z",1,"Drainage of Right Upper Lung Lobe with Drainage Device, Endo","Drainage of Right Upper Lung Lobe with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9C8ZX",1,"Drainage of Right Upper Lung Lobe, Endo, Diagn","Drainage of Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9C8ZZ",1,"Drainage of Right Upper Lung Lobe, Endo","Drainage of Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic"
"0B9D00Z",1,"Drainage of R Mid Lung Lobe with Drain Dev, Open Approach","Drainage of Right Middle Lung Lobe with Drainage Device, Open Approach"
"0B9D0ZX",1,"Drainage of Right Middle Lung Lobe, Open Approach, Diagn","Drainage of Right Middle Lung Lobe, Open Approach, Diagnostic"
"0B9D0ZZ",1,"Drainage of Right Middle Lung Lobe, Open Approach","Drainage of Right Middle Lung Lobe, Open Approach"
"0B9D30Z",1,"Drainage of R Mid Lung Lobe with Drain Dev, Perc Approach","Drainage of Right Middle Lung Lobe with Drainage Device, Percutaneous Approach"
"0B9D3ZX",1,"Drainage of Right Middle Lung Lobe, Perc Approach, Diagn","Drainage of Right Middle Lung Lobe, Percutaneous Approach, Diagnostic"
"0B9D3ZZ",1,"Drainage of Right Middle Lung Lobe, Percutaneous Approach","Drainage of Right Middle Lung Lobe, Percutaneous Approach"
"0B9D40Z",1,"Drain of R Mid Lung Lobe with Drain Dev, Perc Endo Approach","Drainage of Right Middle Lung Lobe with Drainage Device, Percutaneous Endoscopic Approach"
"0B9D4ZX",1,"Drainage of R Mid Lung Lobe, Perc Endo Approach, Diagn","Drainage of Right Middle Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic"
"0B9D4ZZ",1,"Drainage of Right Middle Lung Lobe, Perc Endo Approach","Drainage of Right Middle Lung Lobe, Percutaneous Endoscopic Approach"
"0B9D70Z",1,"Drainage of R Mid Lung Lobe with Drain Dev, Via Opening","Drainage of Right Middle Lung Lobe with Drainage Device, Via Natural or Artificial Opening"
"0B9D7ZX",1,"Drainage of Right Middle Lung Lobe, Via Opening, Diagn","Drainage of Right Middle Lung Lobe, Via Natural or Artificial Opening, Diagnostic"
"0B9D7ZZ",1,"Drainage of Right Middle Lung Lobe, Via Opening","Drainage of Right Middle Lung Lobe, Via Natural or Artificial Opening"
"0B9D80Z",1,"Drainage of Right Middle Lung Lobe with Drain Dev, Endo","Drainage of Right Middle Lung Lobe with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9D8ZX",1,"Drainage of Right Middle Lung Lobe, Endo, Diagn","Drainage of Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9D8ZZ",1,"Drainage of Right Middle Lung Lobe, Endo","Drainage of Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic"
"0B9F00Z",1,"Drainage of R Low Lung Lobe with Drain Dev, Open Approach","Drainage of Right Lower Lung Lobe with Drainage Device, Open Approach"
"0B9F0ZX",1,"Drainage of Right Lower Lung Lobe, Open Approach, Diagnostic","Drainage of Right Lower Lung Lobe, Open Approach, Diagnostic"
"0B9F0ZZ",1,"Drainage of Right Lower Lung Lobe, Open Approach","Drainage of Right Lower Lung Lobe, Open Approach"
"0B9F30Z",1,"Drainage of R Low Lung Lobe with Drain Dev, Perc Approach","Drainage of Right Lower Lung Lobe with Drainage Device, Percutaneous Approach"
"0B9F3ZX",1,"Drainage of Right Lower Lung Lobe, Perc Approach, Diagn","Drainage of Right Lower Lung Lobe, Percutaneous Approach, Diagnostic"
"0B9F3ZZ",1,"Drainage of Right Lower Lung Lobe, Percutaneous Approach","Drainage of Right Lower Lung Lobe, Percutaneous Approach"
"0B9F40Z",1,"Drain of R Low Lung Lobe with Drain Dev, Perc Endo Approach","Drainage of Right Lower Lung Lobe with Drainage Device, Percutaneous Endoscopic Approach"
"0B9F4ZX",1,"Drainage of Right Lower Lung Lobe, Perc Endo Approach, Diagn","Drainage of Right Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic"
"0B9F4ZZ",1,"Drainage of Right Lower Lung Lobe, Perc Endo Approach","Drainage of Right Lower Lung Lobe, Percutaneous Endoscopic Approach"
"0B9F70Z",1,"Drainage of R Low Lung Lobe with Drain Dev, Via Opening","Drainage of Right Lower Lung Lobe with Drainage Device, Via Natural or Artificial Opening"
"0B9F7ZX",1,"Drainage of Right Lower Lung Lobe, Via Opening, Diagn","Drainage of Right Lower Lung Lobe, Via Natural or Artificial Opening, Diagnostic"
"0B9F7ZZ",1,"Drainage of Right Lower Lung Lobe, Via Opening","Drainage of Right Lower Lung Lobe, Via Natural or Artificial Opening"
"0B9F80Z",1,"Drainage of Right Lower Lung Lobe with Drainage Device, Endo","Drainage of Right Lower Lung Lobe with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9F8ZX",1,"Drainage of Right Lower Lung Lobe, Endo, Diagn","Drainage of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9F8ZZ",1,"Drainage of Right Lower Lung Lobe, Endo","Drainage of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic"
"0B9G00Z",1,"Drainage of L Up Lung Lobe with Drain Dev, Open Approach","Drainage of Left Upper Lung Lobe with Drainage Device, Open Approach"
"0B9G0ZX",1,"Drainage of Left Upper Lung Lobe, Open Approach, Diagnostic","Drainage of Left Upper Lung Lobe, Open Approach, Diagnostic"
"0B9G0ZZ",1,"Drainage of Left Upper Lung Lobe, Open Approach","Drainage of Left Upper Lung Lobe, Open Approach"
"0B9G30Z",1,"Drainage of L Up Lung Lobe with Drain Dev, Perc Approach","Drainage of Left Upper Lung Lobe with Drainage Device, Percutaneous Approach"
"0B9G3ZX",1,"Drainage of Left Upper Lung Lobe, Perc Approach, Diagn","Drainage of Left Upper Lung Lobe, Percutaneous Approach, Diagnostic"
"0B9G3ZZ",1,"Drainage of Left Upper Lung Lobe, Percutaneous Approach","Drainage of Left Upper Lung Lobe, Percutaneous Approach"
"0B9G40Z",1,"Drain of L Up Lung Lobe with Drain Dev, Perc Endo Approach","Drainage of Left Upper Lung Lobe with Drainage Device, Percutaneous Endoscopic Approach"
"0B9G4ZX",1,"Drainage of Left Upper Lung Lobe, Perc Endo Approach, Diagn","Drainage of Left Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic"
"0B9G4ZZ",1,"Drainage of Left Upper Lung Lobe, Perc Endo Approach","Drainage of Left Upper Lung Lobe, Percutaneous Endoscopic Approach"
"0B9G70Z",1,"Drainage of Left Upper Lung Lobe with Drain Dev, Via Opening","Drainage of Left Upper Lung Lobe with Drainage Device, Via Natural or Artificial Opening"
"0B9G7ZX",1,"Drainage of Left Upper Lung Lobe, Via Opening, Diagn","Drainage of Left Upper Lung Lobe, Via Natural or Artificial Opening, Diagnostic"
"0B9G7ZZ",1,"Drainage of Left Upper Lung Lobe, Via Opening","Drainage of Left Upper Lung Lobe, Via Natural or Artificial Opening"
"0B9G80Z",1,"Drainage of Left Upper Lung Lobe with Drainage Device, Endo","Drainage of Left Upper Lung Lobe with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9G8ZX",1,"Drainage of Left Upper Lung Lobe, Endo, Diagn","Drainage of Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9G8ZZ",1,"Drainage of Left Upper Lung Lobe, Endo","Drainage of Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic"
"0B9H00Z",1,"Drainage of Lung Lingula with Drainage Device, Open Approach","Drainage of Lung Lingula with Drainage Device, Open Approach"
"0B9H0ZX",1,"Drainage of Lung Lingula, Open Approach, Diagnostic","Drainage of Lung Lingula, Open Approach, Diagnostic"
"0B9H0ZZ",1,"Drainage of Lung Lingula, Open Approach","Drainage of Lung Lingula, Open Approach"
"0B9H30Z",1,"Drainage of Lung Lingula with Drainage Device, Perc Approach","Drainage of Lung Lingula with Drainage Device, Percutaneous Approach"
"0B9H3ZX",1,"Drainage of Lung Lingula, Percutaneous Approach, Diagnostic","Drainage of Lung Lingula, Percutaneous Approach, Diagnostic"
"0B9H3ZZ",1,"Drainage of Lung Lingula, Percutaneous Approach","Drainage of Lung Lingula, Percutaneous Approach"
"0B9H40Z",1,"Drainage of Lung Lingula with Drain Dev, Perc Endo Approach","Drainage of Lung Lingula with Drainage Device, Percutaneous Endoscopic Approach"
"0B9H4ZX",1,"Drainage of Lung Lingula, Perc Endo Approach, Diagn","Drainage of Lung Lingula, Percutaneous Endoscopic Approach, Diagnostic"
"0B9H4ZZ",1,"Drainage of Lung Lingula, Percutaneous Endoscopic Approach","Drainage of Lung Lingula, Percutaneous Endoscopic Approach"
"0B9H70Z",1,"Drainage of Lung Lingula with Drainage Device, Via Opening","Drainage of Lung Lingula with Drainage Device, Via Natural or Artificial Opening"
"0B9H7ZX",1,"Drainage of Lung Lingula, Via Opening, Diagn","Drainage of Lung Lingula, Via Natural or Artificial Opening, Diagnostic"
"0B9H7ZZ",1,"Drainage of Lung Lingula, Via Natural or Artificial Opening","Drainage of Lung Lingula, Via Natural or Artificial Opening"
"0B9H80Z",1,"Drainage of Lung Lingula with Drainage Device, Endo","Drainage of Lung Lingula with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9H8ZX",1,"Drainage of Lung Lingula, Endo, Diagn","Drainage of Lung Lingula, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9H8ZZ",1,"Drainage of Lung Lingula, Endo","Drainage of Lung Lingula, Via Natural or Artificial Opening Endoscopic"
"0B9J00Z",1,"Drainage of L Low Lung Lobe with Drain Dev, Open Approach","Drainage of Left Lower Lung Lobe with Drainage Device, Open Approach"
"0B9J0ZX",1,"Drainage of Left Lower Lung Lobe, Open Approach, Diagnostic","Drainage of Left Lower Lung Lobe, Open Approach, Diagnostic"
"0B9J0ZZ",1,"Drainage of Left Lower Lung Lobe, Open Approach","Drainage of Left Lower Lung Lobe, Open Approach"
"0B9J30Z",1,"Drainage of L Low Lung Lobe with Drain Dev, Perc Approach","Drainage of Left Lower Lung Lobe with Drainage Device, Percutaneous Approach"
"0B9J3ZX",1,"Drainage of Left Lower Lung Lobe, Perc Approach, Diagn","Drainage of Left Lower Lung Lobe, Percutaneous Approach, Diagnostic"
"0B9J3ZZ",1,"Drainage of Left Lower Lung Lobe, Percutaneous Approach","Drainage of Left Lower Lung Lobe, Percutaneous Approach"
"0B9J40Z",1,"Drain of L Low Lung Lobe with Drain Dev, Perc Endo Approach","Drainage of Left Lower Lung Lobe with Drainage Device, Percutaneous Endoscopic Approach"
"0B9J4ZX",1,"Drainage of Left Lower Lung Lobe, Perc Endo Approach, Diagn","Drainage of Left Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic"
"0B9J4ZZ",1,"Drainage of Left Lower Lung Lobe, Perc Endo Approach","Drainage of Left Lower Lung Lobe, Percutaneous Endoscopic Approach"
"0B9J70Z",1,"Drainage of Left Lower Lung Lobe with Drain Dev, Via Opening","Drainage of Left Lower Lung Lobe with Drainage Device, Via Natural or Artificial Opening"
"0B9J7ZX",1,"Drainage of Left Lower Lung Lobe, Via Opening, Diagn","Drainage of Left Lower Lung Lobe, Via Natural or Artificial Opening, Diagnostic"
"0B9J7ZZ",1,"Drainage of Left Lower Lung Lobe, Via Opening","Drainage of Left Lower Lung Lobe, Via Natural or Artificial Opening"
"0B9J80Z",1,"Drainage of Left Lower Lung Lobe with Drainage Device, Endo","Drainage of Left Lower Lung Lobe with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9J8ZX",1,"Drainage of Left Lower Lung Lobe, Endo, Diagn","Drainage of Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9J8ZZ",1,"Drainage of Left Lower Lung Lobe, Endo","Drainage of Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic"
"0B9K00Z",1,"Drainage of Right Lung with Drainage Device, Open Approach","Drainage of Right Lung with Drainage Device, Open Approach"
"0B9K0ZX",1,"Drainage of Right Lung, Open Approach, Diagnostic","Drainage of Right Lung, Open Approach, Diagnostic"
"0B9K0ZZ",1,"Drainage of Right Lung, Open Approach","Drainage of Right Lung, Open Approach"
"0B9K30Z",1,"Drainage of Right Lung with Drainage Device, Perc Approach","Drainage of Right Lung with Drainage Device, Percutaneous Approach"
"0B9K3ZX",1,"Drainage of Right Lung, Percutaneous Approach, Diagnostic","Drainage of Right Lung, Percutaneous Approach, Diagnostic"
"0B9K3ZZ",1,"Drainage of Right Lung, Percutaneous Approach","Drainage of Right Lung, Percutaneous Approach"
"0B9K40Z",1,"Drainage of Right Lung with Drain Dev, Perc Endo Approach","Drainage of Right Lung with Drainage Device, Percutaneous Endoscopic Approach"
"0B9K4ZX",1,"Drainage of Right Lung, Perc Endo Approach, Diagn","Drainage of Right Lung, Percutaneous Endoscopic Approach, Diagnostic"
"0B9K4ZZ",1,"Drainage of Right Lung, Percutaneous Endoscopic Approach","Drainage of Right Lung, Percutaneous Endoscopic Approach"
"0B9K70Z",1,"Drainage of Right Lung with Drainage Device, Via Opening","Drainage of Right Lung with Drainage Device, Via Natural or Artificial Opening"
"0B9K7ZX",1,"Drainage of Right Lung, Via Opening, Diagn","Drainage of Right Lung, Via Natural or Artificial Opening, Diagnostic"
"0B9K7ZZ",1,"Drainage of Right Lung, Via Natural or Artificial Opening","Drainage of Right Lung, Via Natural or Artificial Opening"
"0B9K80Z",1,"Drainage of Right Lung with Drainage Device, Endo","Drainage of Right Lung with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9K8ZX",1,"Drainage of Right Lung, Endo, Diagn","Drainage of Right Lung, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9K8ZZ",1,"Drainage of Right Lung, Endo","Drainage of Right Lung, Via Natural or Artificial Opening Endoscopic"
"0B9L00Z",1,"Drainage of Left Lung with Drainage Device, Open Approach","Drainage of Left Lung with Drainage Device, Open Approach"
"0B9L0ZX",1,"Drainage of Left Lung, Open Approach, Diagnostic","Drainage of Left Lung, Open Approach, Diagnostic"
"0B9L0ZZ",1,"Drainage of Left Lung, Open Approach","Drainage of Left Lung, Open Approach"
"0B9L30Z",1,"Drainage of Left Lung with Drainage Device, Perc Approach","Drainage of Left Lung with Drainage Device, Percutaneous Approach"
"0B9L3ZX",1,"Drainage of Left Lung, Percutaneous Approach, Diagnostic","Drainage of Left Lung, Percutaneous Approach, Diagnostic"
"0B9L3ZZ",1,"Drainage of Left Lung, Percutaneous Approach","Drainage of Left Lung, Percutaneous Approach"
"0B9L40Z",1,"Drainage of Left Lung with Drain Dev, Perc Endo Approach","Drainage of Left Lung with Drainage Device, Percutaneous Endoscopic Approach"
"0B9L4ZX",1,"Drainage of Left Lung, Perc Endo Approach, Diagn","Drainage of Left Lung, Percutaneous Endoscopic Approach, Diagnostic"
"0B9L4ZZ",1,"Drainage of Left Lung, Percutaneous Endoscopic Approach","Drainage of Left Lung, Percutaneous Endoscopic Approach"
"0B9L70Z",1,"Drainage of Left Lung with Drainage Device, Via Opening","Drainage of Left Lung with Drainage Device, Via Natural or Artificial Opening"
"0B9L7ZX",1,"Drainage of Left Lung, Via Opening, Diagn","Drainage of Left Lung, Via Natural or Artificial Opening, Diagnostic"
"0B9L7ZZ",1,"Drainage of Left Lung, Via Natural or Artificial Opening","Drainage of Left Lung, Via Natural or Artificial Opening"
"0B9L80Z",1,"Drainage of Left Lung with Drainage Device, Endo","Drainage of Left Lung with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9L8ZX",1,"Drainage of Left Lung, Endo, Diagn","Drainage of Left Lung, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9L8ZZ",1,"Drainage of Left Lung, Endo","Drainage of Left Lung, Via Natural or Artificial Opening Endoscopic"
"0B9M00Z",1,"Drainage of Bilateral Lungs with Drain Dev, Open Approach","Drainage of Bilateral Lungs with Drainage Device, Open Approach"
"0B9M0ZX",1,"Drainage of Bilateral Lungs, Open Approach, Diagnostic","Drainage of Bilateral Lungs, Open Approach, Diagnostic"
"0B9M0ZZ",1,"Drainage of Bilateral Lungs, Open Approach","Drainage of Bilateral Lungs, Open Approach"
"0B9M30Z",1,"Drainage of Bilateral Lungs with Drain Dev, Perc Approach","Drainage of Bilateral Lungs with Drainage Device, Percutaneous Approach"
"0B9M3ZX",1,"Drainage of Bilateral Lungs, Percutaneous Approach, Diagn","Drainage of Bilateral Lungs, Percutaneous Approach, Diagnostic"
"0B9M3ZZ",1,"Drainage of Bilateral Lungs, Percutaneous Approach","Drainage of Bilateral Lungs, Percutaneous Approach"
"0B9M40Z",1,"Drainage of Bi Lungs with Drain Dev, Perc Endo Approach","Drainage of Bilateral Lungs with Drainage Device, Percutaneous Endoscopic Approach"
"0B9M4ZX",1,"Drainage of Bilateral Lungs, Perc Endo Approach, Diagn","Drainage of Bilateral Lungs, Percutaneous Endoscopic Approach, Diagnostic"
"0B9M4ZZ",1,"Drainage of Bilateral Lungs, Perc Endo Approach","Drainage of Bilateral Lungs, Percutaneous Endoscopic Approach"
"0B9M70Z",1,"Drainage of Bilateral Lungs with Drain Dev, Via Opening","Drainage of Bilateral Lungs with Drainage Device, Via Natural or Artificial Opening"
"0B9M7ZX",1,"Drainage of Bilateral Lungs, Via Opening, Diagn","Drainage of Bilateral Lungs, Via Natural or Artificial Opening, Diagnostic"
"0B9M7ZZ",1,"Drainage of Bilateral Lungs, Via Opening","Drainage of Bilateral Lungs, Via Natural or Artificial Opening"
"0B9M80Z",1,"Drainage of Bilateral Lungs with Drainage Device, Endo","Drainage of Bilateral Lungs with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9M8ZX",1,"Drainage of Bilateral Lungs, Endo, Diagn","Drainage of Bilateral Lungs, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9M8ZZ",1,"Drainage of Bilateral Lungs, Endo","Drainage of Bilateral Lungs, Via Natural or Artificial Opening Endoscopic"
"0B9N00Z",1,"Drainage of Right Pleura with Drainage Device, Open Approach","Drainage of Right Pleura with Drainage Device, Open Approach"
"0B9N0ZX",1,"Drainage of Right Pleura, Open Approach, Diagnostic","Drainage of Right Pleura, Open Approach, Diagnostic"
"0B9N0ZZ",1,"Drainage of Right Pleura, Open Approach","Drainage of Right Pleura, Open Approach"
"0B9N30Z",1,"Drainage of Right Pleura with Drainage Device, Perc Approach","Drainage of Right Pleura with Drainage Device, Percutaneous Approach"
"0B9N3ZX",1,"Drainage of Right Pleura, Percutaneous Approach, Diagnostic","Drainage of Right Pleura, Percutaneous Approach, Diagnostic"
"0B9N3ZZ",1,"Drainage of Right Pleura, Percutaneous Approach","Drainage of Right Pleura, Percutaneous Approach"
"0B9N40Z",1,"Drainage of Right Pleura with Drain Dev, Perc Endo Approach","Drainage of Right Pleura with Drainage Device, Percutaneous Endoscopic Approach"
"0B9N4ZX",1,"Drainage of Right Pleura, Perc Endo Approach, Diagn","Drainage of Right Pleura, Percutaneous Endoscopic Approach, Diagnostic"
"0B9N4ZZ",1,"Drainage of Right Pleura, Percutaneous Endoscopic Approach","Drainage of Right Pleura, Percutaneous Endoscopic Approach"
"0B9N80Z",1,"Drainage of Right Pleura with Drainage Device, Endo","Drainage of Right Pleura with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9N8ZX",1,"Drainage of Right Pleura, Endo, Diagn","Drainage of Right Pleura, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9N8ZZ",1,"Drainage of Right Pleura, Endo","Drainage of Right Pleura, Via Natural or Artificial Opening Endoscopic"
"0B9P00Z",1,"Drainage of Left Pleura with Drainage Device, Open Approach","Drainage of Left Pleura with Drainage Device, Open Approach"
"0B9P0ZX",1,"Drainage of Left Pleura, Open Approach, Diagnostic","Drainage of Left Pleura, Open Approach, Diagnostic"
"0B9P0ZZ",1,"Drainage of Left Pleura, Open Approach","Drainage of Left Pleura, Open Approach"
"0B9P30Z",1,"Drainage of Left Pleura with Drainage Device, Perc Approach","Drainage of Left Pleura with Drainage Device, Percutaneous Approach"
"0B9P3ZX",1,"Drainage of Left Pleura, Percutaneous Approach, Diagnostic","Drainage of Left Pleura, Percutaneous Approach, Diagnostic"
"0B9P3ZZ",1,"Drainage of Left Pleura, Percutaneous Approach","Drainage of Left Pleura, Percutaneous Approach"
"0B9P40Z",1,"Drainage of Left Pleura with Drain Dev, Perc Endo Approach","Drainage of Left Pleura with Drainage Device, Percutaneous Endoscopic Approach"
"0B9P4ZX",1,"Drainage of Left Pleura, Perc Endo Approach, Diagn","Drainage of Left Pleura, Percutaneous Endoscopic Approach, Diagnostic"
"0B9P4ZZ",1,"Drainage of Left Pleura, Percutaneous Endoscopic Approach","Drainage of Left Pleura, Percutaneous Endoscopic Approach"
"0B9P80Z",1,"Drainage of Left Pleura with Drainage Device, Endo","Drainage of Left Pleura with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0B9P8ZX",1,"Drainage of Left Pleura, Endo, Diagn","Drainage of Left Pleura, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0B9P8ZZ",1,"Drainage of Left Pleura, Endo","Drainage of Left Pleura, Via Natural or Artificial Opening Endoscopic"
"0B9T00Z",1,"Drainage of Diaphragm with Drainage Device, Open Approach","Drainage of Diaphragm with Drainage Device, Open Approach"
"0B9T0ZX",1,"Drainage of Diaphragm, Open Approach, Diagnostic","Drainage of Diaphragm, Open Approach, Diagnostic"
"0B9T0ZZ",1,"Drainage of Diaphragm, Open Approach","Drainage of Diaphragm, Open Approach"
"0B9T30Z",1,"Drainage of Diaphragm with Drainage Device, Perc Approach","Drainage of Diaphragm with Drainage Device, Percutaneous Approach"
"0B9T3ZX",1,"Drainage of Diaphragm, Percutaneous Approach, Diagnostic","Drainage of Diaphragm, Percutaneous Approach, Diagnostic"
"0B9T3ZZ",1,"Drainage of Diaphragm, Percutaneous Approach","Drainage of Diaphragm, Percutaneous Approach"
"0B9T40Z",1,"Drainage of Diaphragm with Drain Dev, Perc Endo Approach","Drainage of Diaphragm with Drainage Device, Percutaneous Endoscopic Approach"
"0B9T4ZX",1,"Drainage of Diaphragm, Perc Endo Approach, Diagn","Drainage of Diaphragm, Percutaneous Endoscopic Approach, Diagnostic"
"0B9T4ZZ",1,"Drainage of Diaphragm, Percutaneous Endoscopic Approach","Drainage of Diaphragm, Percutaneous Endoscopic Approach"
"0BB",0,"Respiratory System, Excision","Respiratory System, Excision"
"0BB10ZX",1,"Excision of Trachea, Open Approach, Diagnostic","Excision of Trachea, Open Approach, Diagnostic"
"0BB10ZZ",1,"Excision of Trachea, Open Approach","Excision of Trachea, Open Approach"
"0BB13ZX",1,"Excision of Trachea, Percutaneous Approach, Diagnostic","Excision of Trachea, Percutaneous Approach, Diagnostic"
"0BB13ZZ",1,"Excision of Trachea, Percutaneous Approach","Excision of Trachea, Percutaneous Approach"
"0BB14ZX",1,"Excision of Trachea, Percutaneous Endoscopic Approach, Diagn","Excision of Trachea, Percutaneous Endoscopic Approach, Diagnostic"
"0BB14ZZ",1,"Excision of Trachea, Percutaneous Endoscopic Approach","Excision of Trachea, Percutaneous Endoscopic Approach"
"0BB17ZX",1,"Excision of Trachea, Via Opening, Diagn","Excision of Trachea, Via Natural or Artificial Opening, Diagnostic"
"0BB17ZZ",1,"Excision of Trachea, Via Natural or Artificial Opening","Excision of Trachea, Via Natural or Artificial Opening"
"0BB18ZX",1,"Excision of Trachea, Endo, Diagn","Excision of Trachea, Via Natural or Artificial Opening Endoscopic, Diagnostic"
"0BB18ZZ",1,"Excision of Trachea, Endo","Excision of Trachea, Via Natural or Artificial Opening Endoscopic"
"0BB20ZX",1,"Excision of Carina, Open Approach, Diagnostic","Excision of Carina, Open Approach, Diagnostic"
"0BB20ZZ",1,"Excision of Carina, Open Approach","Excision of Carina, Open Approach"
"0BB23ZX",1,"Excision of Carina, Percutaneous Approach, Diagnostic","Excision of Carina, Percutaneous Approach, Diagnostic"
"0BB23ZZ",1,"Excision of Carina, Percutaneous Approach","Excision of Carina, Percutaneous Approach"
"0BB24ZX",1,"Excision of Carina, Percutaneous Endoscopic Approach, Diagn","Excision of Carina, Percutaneous Endoscopic Approach, Diagnostic"
"0BB24ZZ",1,"Excision of Carina, Percutaneous Endoscopic Approach","Excision of Carina, Percutaneous Endoscopic Approach"
"0BB27ZX",1,"Excision of Carina, Via Natural or Artificial Opening, Diagn","Excision of Carina, Via Natural or Artificial Opening, Diagnostic"
"0BB27ZZ",1,"Excision of Carina, Via Natural or Artificial Opening","Excision of Carina, Via Natural or Artificial Opening"
